tanggal,komoditas,nilai,satuan,tahun,bulan,split,nilai_norm_train_minmax,source_file,source_sheet,nama_asli,catatan
2019-09-01,Bawang Merah,350.0,Ton,2019,9,train,0.030438311688311688,Ketersediaan bapok 12-19 .xlsx,2019,Bawang merah,
2019-10-01,Bawang Merah,275.0,Ton,2019,10,train,0.0,Ketersediaan bapok 12-19 .xlsx,2019,Bawang merah,
2019-11-01,Bawang Merah,280.0,Ton,2019,11,train,0.002029220779220779,Ketersediaan bapok 12-19 .xlsx,2019,Bawang merah,
2019-12-01,Bawang Merah,356.262,Ton,2019,12,train,0.03297970779220779,Ketersediaan bapok 12-19 .xlsx,2019,Bawang merah,
2020-01-01,Bawang Merah,1425.0,Ton,2020,1,train,0.4667207792207792,lap .bln 20 .xlsx,20,Bawang merah,
2020-02-01,Bawang Merah,1450.0,Ton,2020,2,train,0.47686688311688313,lap .bln 20 .xlsx,20,Bawang merah,
2020-03-01,Bawang Merah,1495.0,Ton,2020,3,train,0.49512987012987014,lap .bln 20 .xlsx,20,Bawang merah,
2020-04-01,Bawang Merah,1625.0,Ton,2020,4,train,0.5478896103896104,lap .bln 20 .xlsx,20,Bawang merah,
2020-05-01,Bawang Merah,1400.0,Ton,2020,5,train,0.4565746753246753,lap .bln 20 .xlsx,20,Bawang merah,
2020-06-01,Bawang Merah,2210.9,Ton,2020,6,train,0.7856737012987013,lap .bln 20 .xlsx,20,Bawang merah,
2020-07-01,Bawang Merah,2404.286,Ton,2020,7,train,0.8641582792207793,lap .bln 20 .xlsx,20,Bawang merah,
2020-08-01,Bawang Merah,2425.076,Ton,2020,8,train,0.8725957792207792,lap .bln 20 .xlsx,20,Bawang merah,
2020-09-01,Bawang Merah,2521.74,Ton,2020,9,train,0.9118262987012986,lap .bln 20 .xlsx,20,Bawang merah,
2020-10-01,Bawang Merah,2524.73,Ton,2020,10,train,0.9130397727272728,lap .bln 20 .xlsx,20,Bawang merah,
2020-11-01,Bawang Merah,2459.527,Ton,2020,11,train,0.8865775162337662,lap .bln 20 .xlsx,20,Bawang merah,
2020-12-01,Bawang Merah,2739.0,Ton,2020,12,train,1.0,lap .bln 20 .xlsx,20,Bawang merah,
2021-01-01,Bawang Merah,2672.0,Ton,2021,1,train,0.9728084415584416,lap .bln 21 .xlsx,21,Bawang merah,
2021-02-01,Bawang Merah,2525.0,Ton,2021,2,train,0.9131493506493507,lap .bln 21 .xlsx,21,Bawang merah,
2021-03-01,Bawang Merah,2473.0,Ton,2021,3,train,0.8920454545454546,lap .bln 21 .xlsx,21,Bawang merah,
2021-04-01,Bawang Merah,2567.0,Ton,2021,4,train,0.9301948051948052,lap .bln 21 .xlsx,21,Bawang merah,
2021-05-01,Bawang Merah,2523.0,Ton,2021,5,train,0.9123376623376623,lap .bln 21 .xlsx,21,Bawang merah,
2021-06-01,Bawang Merah,2206.0,Ton,2021,6,train,0.783685064935065,lap .bln 21 .xlsx,21,Bawang merah,
2021-07-01,Bawang Merah,2121.0,Ton,2021,7,train,0.7491883116883117,lap .bln 21 .xlsx,21,Bawang merah,
2021-08-01,Bawang Merah,2226.0,Ton,2021,8,train,0.791801948051948,lap .bln 21 .xlsx,21,Bawang merah,
2021-09-01,Bawang Merah,2231.0,Ton,2021,9,train,0.7938311688311688,lap .bln 21 .xlsx,21,Bawang merah,
2021-10-01,Bawang Merah,2305.0,Ton,2021,10,train,0.8238636363636364,lap .bln 21 .xlsx,21,Bawang merah,
2021-11-01,Bawang Merah,2321.0,Ton,2021,11,train,0.8303571428571429,lap .bln 21 .xlsx,21,Bawang merah,
2021-12-01,Bawang Merah,2301.0,Ton,2021,12,train,0.8222402597402597,lap .bln 21 .xlsx,21,Bawang merah,
2022-01-01,Bawang Merah,2293.0,Ton,2022,1,train,0.8189935064935064,lap .bln 22.xlsx,22,Bawang merah,
2022-02-01,Bawang Merah,1631.0,Ton,2022,2,train,0.5503246753246753,lap .bln 22.xlsx,22,Bawang merah,
2022-03-01,Bawang Merah,1521.0,Ton,2022,3,train,0.5056818181818182,lap .bln 22.xlsx,22,Bawang merah,
2022-04-01,Bawang Merah,1443.0,Ton,2022,4,train,0.474025974025974,lap .bln 22.xlsx,22,Bawang merah,
2022-05-01,Bawang Merah,1459.0,Ton,2022,5,train,0.4805194805194805,lap .bln 22.xlsx,22,Bawang merah,
2022-06-01,Bawang Merah,1315.0,Ton,2022,6,train,0.42207792207792205,lap .bln 22.xlsx,22,Bawang merah,
2022-07-01,Bawang Merah,1417.0,Ton,2022,7,train,0.463474025974026,lap .bln 22.xlsx,22,Bawang merah,
2022-08-01,Bawang Merah,1424.0,Ton,2022,8,train,0.46631493506493504,lap .bln 22.xlsx,22,Bawang merah,
2022-09-01,Bawang Merah,1353.0,Ton,2022,9,train,0.4375,lap .bln 22.xlsx,22,Bawang merah,
2022-10-01,Bawang Merah,1343.0,Ton,2022,10,train,0.43344155844155846,lap .bln 22.xlsx,22,Bawang merah,
2022-11-01,Bawang Merah,1298.0,Ton,2022,11,train,0.41517857142857145,lap .bln 22.xlsx,22,Bawang merah,
2022-12-01,Bawang Merah,2301.0,Ton,2022,12,train,0.8222402597402597,lap .bln 22.xlsx,22,Bawang merah,
2023-01-01,Bawang Merah,1354.2199999999998,Ton,2023,1,validation,0.4379951298701298,rekap ketersediaan 2023.xlsx,Sheet1,Bawang Merah,
2023-02-01,Bawang Merah,1211.7100000000003,Ton,2023,2,validation,0.3801582792207793,rekap ketersediaan 2023.xlsx,Sheet1,Bawang Merah,
2023-03-01,Bawang Merah,1520.516,Ton,2023,3,validation,0.5054853896103897,rekap ketersediaan 2023.xlsx,Sheet1,Bawang Merah,
2023-04-01,Bawang Merah,1442.8950000000002,Ton,2023,4,validation,0.4739833603896105,rekap ketersediaan 2023.xlsx,Sheet1,Bawang Merah,
2023-05-01,Bawang Merah,1000.12,Ton,2023,5,validation,0.29428571428571426,rekap ketersediaan 2023.xlsx,Sheet1,Bawang Merah,
2023-06-01,Bawang Merah,1134.17,Ton,2023,6,validation,0.3486891233766234,rekap ketersediaan 2023.xlsx,Sheet1,Bawang Merah,
2023-07-01,Bawang Merah,1319.68,Ton,2023,7,validation,0.42397727272727276,rekap ketersediaan 2023.xlsx,Sheet1,Bawang Merah,
2023-08-01,Bawang Merah,1319.53,Ton,2023,8,validation,0.4239163961038961,rekap ketersediaan 2023.xlsx,Sheet1,Bawang Merah,
2023-09-01,Bawang Merah,1277.83,Ton,2023,9,validation,0.4069926948051948,rekap ketersediaan 2023.xlsx,Sheet1,Bawang Merah,
2023-10-01,Bawang Merah,1319.93,Ton,2023,10,validation,0.4240787337662338,rekap ketersediaan 2023.xlsx,Sheet1,Bawang Merah,
2023-11-01,Bawang Merah,1278.3,Ton,2023,11,validation,0.40718344155844155,rekap ketersediaan 2023.xlsx,Sheet1,Bawang Merah,
2023-12-01,Bawang Merah,1322.42,Ton,2023,12,validation,0.4250892857142857,rekap ketersediaan 2023.xlsx,Sheet1,Bawang Merah,
